['title year', 'movie title', 'budget', 'gross'],
[1920,'Over the Hill to the Poorhouse',100000,3000000],
[1925,'The Big Parade',245000],
[1929,'The Broadway Melody',379000,2808000],
[1930,'Hell's Angels',3950000],
[1932,'A Farewell to Arms',800000],
[1933,'42nd Street',439000,2300000],
[1934,'It Happened One Night',325000],
[1935,'Top Hat',609000,3000000],
[1936,'Modern Times',1500000,163245],
[1937,'Snow White and the Seven Dwarfs',2000000,184925485],
[1938,'Alexander's Ragtime Band',2000000],
[1939,'Gone with the Wind',3977000,198655278],
[1940,'Boom Town',2600000],
[1941,'How Green Was My Valley',1250000],
[1942,'Bambi',950000,102797150],
[1943,'A Guy Named Joe',2627000],
[1944,'Bathing Beauty',2361000],
[1945,'Spellbound',2160000],
[1946,'Duel in the Sun',8000000,20400000],
[1947,'Gentleman's Agreement',3209000],
[1948,'Open Secret',3700000],
[1949,'Sands of Iwo Jima',1600000],
[1950,'Annie Get Your Gun',3768785,8000000],
[1951,'A Streetcar Named Desire',7623000],
[1952,'Deadline - U.S.A',750000],
[1953,'From Here to Eternity',5000000],
[1954,'20000 Leagues Under the Sea',910000],
[1955,'The Trouble with Harry',1200000],
[1956,'Love Me Tender',4500000],
[1957,'12 Angry Men',350000],
[1958,'Cat on a Hot Tin Roof',3000000],
[1959,'Solomon and Sheba',5000000],
[1960,'Elmer Gantry',806947],
[1961,'Judgment at Nuremberg',6000000],
[1962,'The Brain That Wouldn't Die',62000],
[1963,'55 Days at Peking',9400000],
[1964,'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb',6000000],
[1965,'A Charlie Brown Christmas',8200000],
[1966,'A Funny Thing Happened on the Way to the Forum',6000000],
[1967,'In Cold Blood',3500000],
[1968,'Charly',2500000],
[1969,'Butch Cassidy and the Sundance Kid',6244087,102308900],
[1970,'Beneath the Planet of the Apes',900000],
[1971,'Bananas',9000000],
[1972,'1776',6000000],
[1973,'American Graffiti',8000000,115000000],
[1974,'Benji',83532,39552600],
[1975,'Death Race 2000',8000000],
[1976,'Family Plot',960000],
[1977,'A Bridge Too Far',7840000,50800000],
[1978,'Alien Zone',6000000],
[1979,'1941',8500000],
[1980,'Airplane!',6500000,83400000],
[1981,'Blow Out',8000000],
[1982,'Blade Runner',8000000,27000000],
[1983,'A Christmas Story',550000],
[1984,'A Nightmare on Elm Street',9000000,26505000],
[1985,'A Nightmare on Elm Street 2: Freddys Revenge',6900000,30000000],
[1986,'91/2 Weeks',8000000,6734844],
[1987,'3 Men and a Baby',6500000,167780960],
[1988,'A Nightmare on Elm Street 4: The Dream Master',9000000,49369900],
[1989,'A Nightmare on Elm Street 5: The Dream Child',8000000,22168359],
[1990,'Arachnophobia',70000000,53133888],
[1991,'Beastmaster 2: Through the Portal of Time',8500000,869325],
[1992,'A Few Good Men',80000000,141340178],
[1993,'Airborne',8200000,2850263],
[1994,'3 Ninjas Kick Back',8600000,11784000],
[1995,'Ace Ventura: When Nature Calls',98000000,108360000],
[1996,'A Thin Line Between Love and Hate',92000000,34746109],
[1997,'8 Heads in a Duffel Bag',90000000,3559990],
[1998,'54',90000000,16574731],
[1999,'10 Things I Hate About You',95000000,38176108],
[2000,'102 Dalmatians',95000000,66941559],
[2001,'15 Minutes',98000000,24375436],
[2002,'25th Hour',94000000,13060843],
[2003,'11:14',95000000],
[2004,'13 Going on 30',92000000,56044241],
[2005,'A History of Violence',9600000,31493782],
[2006,'300',90000000,210592590],
[2007,'1408',989000,71975611],
[2008,'21',92000000,81159365],
[2009,'2:13',90000000],
[2010,'127 Hours',9500000,18329466],
[2011,'50/50',93000000,34963967],
[2012,'2016: Obamas America',95000000,33349949],
[2013,'42',92000000,95001343],
[2014,'22 Jump Street',95000000,191616238],
[2015,'Horror',99000000],
[2016,'10 Cloverfield Lane',90000000,71897215]
